"Cod_IBGE";"Grande região";"Município";"casos_acum";"obitos_acum"
3500105;"Interior";"Adamantina";12262;196
3500204;"Interior";"Adolfo";1369;28
3500303;"Interior";"Aguaí";8382;143
3500402;"Interior";"Águas da Prata";2395;41
3500501;"Interior";"Águas de Lindóia";5929;70
3500550;"Interior";"Águas de Santa Bárbara";626;25
3500600;"Interior";"Águas de São Pedro";490;17
3500709;"Interior";"Agudos";9486;124
3500758;"Interior";"Alambari";1755;13
3500808;"Interior";"Alfredo Marcondes";327;24
3500907;"Interior";"Altair";329;18
3501004;"Interior";"Altinópolis";1253;70
3501103;"Interior";"Alto Alegre";425;30
3501152;"Interior";"Alumínio";2287;56
3501202;"Interior";"Álvares Florence";663;20
3501301;"Interior";"Álvares Machado";4624;97
3501400;"Interior";"Álvaro de Carvalho";358;9
3501509;"Interior";"Alvinlândia";159;11
3501608;"Interior";"Americana";29916;1061
3501707;"Interior";"Américo Brasiliense";8276;117
3501806;"Interior";"Américo de Campos";1299;41
3501905;"Interior";"Amparo";10685;270
3502002;"Interior";"Analândia";890;6
3502101;"Interior";"Andradina";16546;327
3502200;"Interior";"Angatuba";6756;101
3502309;"Interior";"Anhembi";476;16
3502408;"Interior";"Anhumas";416;10
3502507;"Interior";"Aparecida";3019;130
3502606;"Interior";"Aparecida d'Oeste";2059;29
3502705;"Interior";"Apiaí";1815;112
3502754;"Interior";"Araçariguama";3393;81
3502804;"Interior";"Araçatuba";50147;1044
3502903;"Interior";"Araçoiaba da Serra";3329;108
3503000;"Interior";"Aramina";398;21
3503109;"Interior";"Arandu";670;23
3503158;"Interior";"Arapeí";277;7
3503208;"Interior";"Araraquara";76729;720
3503307;"Interior";"Araras";20538;473
3503356;"Interior";"Arco-Íris";728;10
3503406;"Interior";"Arealva";2392;33
3503505;"Interior";"Areias";402;7
3503604;"Interior";"Areiópolis";2429;33
3503703;"Interior";"Ariranha";1033;37
3503802;"Interior";"Artur Nogueira";9549;169
3503901;"RMSP (exceto capital)";"Arujá";12929;369
3503950;"Interior";"Aspásia";679;13
3504008;"Interior";"Assis";27690;506
3504107;"Interior";"Atibaia";13551;532
3504206;"Interior";"Auriflama";2592;92
3504305;"Interior";"Avaí";848;14
3504404;"Interior";"Avanhandava";2001;51
3504503;"Interior";"Avaré";15954;338
3504602;"Interior";"Bady Bassitt";5684;106
3504701;"Interior";"Balbinos";840;4
3504800;"Interior";"Bálsamo";3375;79
3504909;"Interior";"Bananal";1170;11
3505005;"Interior";"Barão de Antonina";1133;11
3505104;"Interior";"Barbosa";993;26
3505203;"Interior";"Bariri";8826;161
3505302;"Interior";"Barra Bonita";5688;131
3505351;"Interior";"Barra do Chapéu";469;16
3505401;"Interior";"Barra do Turvo";919;27
3505500;"Interior";"Barretos";35004;674
3505609;"Interior";"Barrinha";1789;98
3505708;"RMSP (exceto capital)";"Barueri";52834;1291
3505807;"Interior";"Bastos";4162;105
3505906;"Interior";"Batatais";7125;214
3506003;"Interior";"Bauru";97962;1542
3506102;"Interior";"Bebedouro";6259;369
3506201;"Interior";"Bento de Abreu";695;6
3506300;"Interior";"Bernardino de Campos";2076;42
3506359;"Interior";"Bertioga";11957;208
3506409;"Interior";"Bilac";973;27
3506508;"Interior";"Birigui";32627;669
3506607;"RMSP (exceto capital)";"Biritiba Mirim";1606;122
3506706;"Interior";"Boa Esperança do Sul";2716;33
3506805;"Interior";"Bocaina";2591;41
3506904;"Interior";"Bofete";3066;30
3507001;"Interior";"Boituva";7146;221
3507100;"Interior";"Bom Jesus dos Perdões";2575;61
3507159;"Interior";"Bom Sucesso de Itararé";787;7
3507209;"Interior";"Borá";237;2
3507308;"Interior";"Boracéia";1081;28
3507407;"Interior";"Borborema";5254;64
3507456;"Interior";"Borebi";315;4
3507506;"Interior";"Botucatu";61464;427
3507605;"Interior";"Bragança Paulista";51741;664
3507704;"Interior";"Braúna";640;28
3507753;"Interior";"Brejo Alegre";949;14
3507803;"Interior";"Brodowski";5284;90
3507902;"Interior";"Brotas";8128;78
3508009;"Interior";"Buri";4940;109
3508108;"Interior";"Buritama";6403;92
3508207;"Interior";"Buritizal";360;10
3508306;"Interior";"Cabrália Paulista";1410;9
3508405;"Interior";"Cabreúva";8809;163
3508504;"Interior";"Caçapava";18123;348
3508603;"Interior";"Cachoeira Paulista";6208;79
3508702;"Interior";"Caconde";3985;47
3508801;"Interior";"Cafelândia";943;62
3508900;"Interior";"Caiabu";340;9
3509007;"RMSP (exceto capital)";"Caieiras";15154;376
3509106;"Interior";"Caiuá";538;12
3509205;"RMSP (exceto capital)";"Cajamar";5710;276
3509254;"Interior";"Cajati";7339;119
3509304;"Interior";"Cajobi";2433;39
3509403;"Interior";"Cajuru";2193;91
3509452;"Interior";"Campina do Monte Alegre";648;29
3509502;"Interior";"Campinas";239021;5705
3509601;"Interior";"Campo Limpo Paulista";11289;321
3509700;"Interior";"Campos do Jordão";13983;169
3509809;"Interior";"Campos Novos Paulista";329;14
3509908;"Interior";"Cananéia";2654;39
3509957;"Interior";"Canas";245;9
3510005;"Interior";"Cândido Mota";8446;190
3510104;"Interior";"Cândido Rodrigues";160;8
3510153;"Interior";"Canitar";1670;30
3510203;"Interior";"Capão Bonito";11094;183
3510302;"Interior";"Capela do Alto";1754;57
3510401;"Interior";"Capivari";5982;198
3510500;"Interior";"Caraguatatuba";39994;561
3510609;"RMSP (exceto capital)";"Carapicuíba";48358;1315
3510708;"Interior";"Cardoso";4151;73
3510807;"Interior";"Casa Branca";7106;136
3510906;"Interior";"Cássia dos Coqueiros";260;4
3511003;"Interior";"Castilho";4838;103
3511102;"Interior";"Catanduva";42027;772
3511201;"Interior";"Catiguá";936;45
3511300;"Interior";"Cedral";4311;41
3511409;"Interior";"Cerqueira César";4217;64
3511508;"Interior";"Cerquilho";16715;182
3511607;"Interior";"Cesário Lange";4807;98
3511706;"Interior";"Charqueada";4423;57
3511904;"Interior";"Clementina";982;25
3512001;"Interior";"Colina";2631;75
3512100;"Interior";"Colômbia";1461;24
3512209;"Interior";"Conchal";5274;98
3512308;"Interior";"Conchas";3984;88
3512407;"Interior";"Cordeirópolis";6041;118
3512506;"Interior";"Coroados";1587;25
3512605;"Interior";"Coronel Macedo";697;30
3512704;"Interior";"Corumbataí";1098;9
3512803;"Interior";"Cosmópolis";8060;200
3512902;"Interior";"Cosmorama";2369;50
3513009;"RMSP (exceto capital)";"Cotia";33605;843
3513108;"Interior";"Cravinhos";2467;122
3513207;"Interior";"Cristais Paulista";1310;22
3513306;"Interior";"Cruzália";227;5
3513405;"Interior";"Cruzeiro";7253;252
3513504;"Interior";"Cubatão";18116;556
3513603;"Interior";"Cunha";1212;49
3513702;"Interior";"Descalvado";9617;111
3513801;"RMSP (exceto capital)";"Diadema";31759;1618
3513850;"Interior";"Dirce Reis";334;7
3513900;"Interior";"Divinolândia";2297;53
3514007;"Interior";"Dobrada";654;13
3514106;"Interior";"Dois Córregos";2102;46
3514205;"Interior";"Dolcinópolis";567;9
3514304;"Interior";"Dourado";2891;28
3514403;"Interior";"Dracena";13368;315
3514502;"Interior";"Duartina";2445;36
3514601;"Interior";"Dumont";2872;31
3514700;"Interior";"Echaporã";825;29
3514809;"Interior";"Eldorado";3434;35
3514908;"Interior";"Elias Fausto";2814;42
3514924;"Interior";"Elisiário";635;13
3514957;"Interior";"Embaúba";226;11
3515004;"RMSP (exceto capital)";"Embu das Artes";11392;783
3515103;"RMSP (exceto capital)";"Embu-Guaçu";5957;245
3515129;"Interior";"Emilianópolis";954;10
3515152;"Interior";"Engenheiro Coelho";4667;67
3515186;"Interior";"Espírito Santo do Pinhal";16388;152
3515194;"Interior";"Espírito Santo do Turvo";825;13
3515202;"Interior";"Estrela d'Oeste";3469;41
3515301;"Interior";"Estrela do Norte";876;9
3515350;"Interior";"Euclides da Cunha Paulista";544;20
